name,website_url,catalog_url,candidate_factors,catalog_description,status
Copernicus Digital Elevation Model (DEM),https://registry.opendata.aws/copernicus-dem/,https://geospatialcatalog.com/copernicus-digital-elevation-model-dem,terrain_dem,"The Copernicus DEM is a Digital Surface Model (DSM) representing the Earth's surface, including buildings, infrastructure, and vegetation. It offers two instances: GLO-90 with worldwide 90-meter coverage and GLO-30 Public with limited worldwide 30-meter coverage. Data is available as Cloud Optimized GeoTIFFs, sourced from the Copernicus DEM 2021 release.",discovery_metadata_only
Daymet,https://daymet.ornl.gov/,https://geospatialcatalog.com/daymet,hand_flood,"Daymet provides daily gridded estimates of minimum and maximum temperature, precipitation, humidity, shortwave radiation, and snow water equivalent. Data is available at a 1 km x 1 km spatial resolution for North America, offering critical environmental insights for research and applications.",discovery_metadata_only
Digital Earth Africa,https://digitalearthafrica.org/en_za/,https://geospatialcatalog.com/digital-earth-africa-2,satellite_imagery,"Digital Earth Africa delivers decision-ready Earth observation products to address social, environmental, and economic challenges across Africa. It processes openly accessible and freely available data to produce actionable insights, enhancing capacity and fostering innovation for sustainable development.",discovery_metadata_only
Digital Earth Africa Sentinel-2 Level-2A,https://registry.opendata.aws/deafrica-sentinel-2/,https://geospatialcatalog.com/digital-earth-africa-sentinel-2-level-2a,satellite_imagery,"This dataset offers Digital Earth Africa Sentinel-2 Level-2A bottom-of-atmosphere reflectance data covering the African continent. Derived from the European Union Copernicus Sentinel-2 mission, it provides analysis-ready data ideal for various research and applications. New scenes are added regularly, usually within hours of their availability from Copernicus OpenHub.",discovery_metadata_only
DWEE NE,https://dnr.nebraska.gov/data,https://geospatialcatalog.com/dwee-ne,hand_flood,"This website serves as a central hub for geospatial data related to water, energy, and environmental resources within Nebraska. It offers various interactive maps and data retrieval tools, allowing users to explore information on dam safety, floodplains, groundwater, and surface water. The portal provides access to critical environmental information for public use and research.",discovery_metadata_only
EarthDEM,https://registry.opendata.aws/pgc-earthdem/,https://geospatialcatalog.com/earthdem,terrain_dem,"EarthDEM offers 2m GSD Digital Elevation Models (DEMs) and mosaics, created from Maxar optical imagery since 2002. This project aims to deliver high-resolution, time-series elevation data for non-polar areas, enabling change detection and comparative topographic analysis. A portion of this global dataset is publicly available on AWS.",discovery_metadata_only
EarthEnv-DEM90,http://www.earthenv.org/DEM,https://geospatialcatalog.com/earthenv-dem90,terrain_dem,"EarthEnv-DEM90 provides a nearly-global, void-free, 90m digital elevation model derived from fused ASTER and SRTM data. It offers continuous coverage for approximately 91% of the globe, supporting assessments of biodiversity, ecosystems, and climate.",discovery_metadata_only
EarthStat,http://www.earthstat.org/,https://geospatialcatalog.com/earthstat,hand_flood,"EarthStat provides global GIS data sets focused on agriculture and the environment. It offers detailed information on cropland and pasture areas, harvested areas and yields for numerous crops, and greenhouse gas emissions from agricultural activities. The platform also analyzes climate variation effects on crop yields and water depletion.",discovery_metadata_only
EOC Geoservice SoilSuite,https://geoservice.dlr.de/web/datasets/soilsuite_eur_5y,https://geospatialcatalog.com/eoc-geoservice-soilsuite,satellite_imagery,"The SoilSuite offers a comprehensive collection of image data products focused on European soils and bare surfaces. It leverages DLR's Soil Composite Mapping Processor (ScMAP) to process Sentinel-2 data from 2018-2022, providing insights into spectral and statistical properties at 20m resolution. Products include bare surface reflectance composites, frequency maps, and landcover masks.",discovery_metadata_only
EODAG,https://github.com/CS-SI/eodag,https://geospatialcatalog.com/eodag,satellite_imagery,"EODAG is a Python framework and command-line tool designed to simplify access to Earth Observation (EO) data. It provides a unified API for searching, aggregating results, and downloading remote sensed images, abstracting away differences between data providers. This tool supports listing collections and searching products by various criteria, facilitating efficient data retrieval.",discovery_metadata_only
EOxCloudless,https://cloudless.eox.at/,https://geospatialcatalog.com/eoxcloudless,satellite_imagery,"EOxCloudless provides high-resolution, cloud-free satellite imagery derived from the ESA Copernicus Sentinel-2 mission. These elaborately post-processed images are optimized for various applications, including web maps and desktop GIS tools. The service offers both prerendered map caches and source mosaics for diverse user needs.",discovery_metadata_only
ETH Global Canopy Height 10m 2020 version1,https://www.research-collection.ethz.ch/entities/researchdata/2ecca65c-bc7b-4e72-9b62-534d606a062e,https://geospatialcatalog.com/eth-globalcanopyheight-10m-2020-version1,satellite_imagery,"This dataset, hosted by the ETH Zurich Research Collection, provides a global canopy height map for 2020. It was created using data from Sentinel-2 and GEDI, offering valuable insights into forest structures and biomass. The resource is open access and available under a Creative Commons license.",discovery_metadata_only
ETOPO Global Relief Model,http://www.ngdc.noaa.gov/mgg/global/global.html,https://geospatialcatalog.com/etopo-global-relief-model,terrain_dem,"The ETOPO Global Relief Model offers integrated global terrain data, combining land elevation and ocean depth into a single dataset. It is a foundational resource for various earth science applications, research, and mapping projects.",discovery_metadata_only
FAO Hand-in-Hand,https://data.apps.fao.org/?lang=en,https://geospatialcatalog.com/fao-hand-in-hand,hand_flood,"The Hand-in-Hand (HiH) Geospatial Platform is an enabling tool for the HiH Initiative, offering over 2 million data layers for targeted, evidence-based interventions. This Digital Public Good provides open-access geographic information, key food security indicators, and agricultural statistics from FAO and external organizations like NGOs, academia, and space agencies.",discovery_metadata_only
FloodPlanet,https://datacommons.cyverse.org/browse/iplant/home/shared/commons_repo/curated/Zhijie_FloodPlanet_2023,https://geospatialcatalog.com/floodplanet,hand_flood|satellite_imagery,"The FloodPlanet dataset provides manually labeled inundation data, meticulously collected for advancing flood detection research. It serves as a crucial resource for training and validating deep learning models, utilizing high-resolution imagery from PlanetScope, Sentinel-1, and Sentinel-2 satellites. This version 1.0 dataset, contributed by Zhijie(JJ) Zhang and collaborators, is a valuable asset for the geospatial community.",discovery_metadata_only
Geofabrik,https://download.geofabrik.de/,https://geospatialcatalog.com/geofabrik,power_grid,"Geofabrik provides free, daily updated OpenStreetMap data extracts for various global regions. Users can download OSM PBF and Shapefiles for self-hosting or data analysis. The service explicitly excludes personal metadata from OSM objects due to EU data protection regulations.",discovery_metadata_only
Geoportal ARSO,http://gis.arso.gov.si/geoportal/catalog/main/home.page,https://geospatialcatalog.com/geoportal-arso,hand_flood,"This geoportal serves as a central hub for accessing a wide range of environmental data and interactive maps from the Slovenian Environmental Agency (ARSO). It features updated resources, including an environmental atlas and specialized thematic maps for various monitoring efforts.

Users can explore data related to water quality, soil conditions, and other critical environmental parameters, often presented through interactive dashboards and story maps.",discovery_metadata_only
Global 30m Height Above Nearest Drainage (HAND),https://registry.opendata.aws/glo-30-hand/,https://geospatialcatalog.com/global-30m-height-above-nearest-drainage-hand,terrain_dem|hand_flood,"The Global 30m Height Above Nearest Drainage (HAND) dataset offers near-worldwide land coverage at 30-meter resolution. It is a terrain model that normalizes topography to relative heights along drainage networks, indicating local drainage potentials. Produced from the Copernicus GLO-30 Public DEM, each pixel value represents the vertical distance to the nearest drainage.",discovery_metadata_only
Google Satellite Embedding V1,https://registry.opendata.aws/aef-source/,https://geospatialcatalog.com/google-satellite-embedding-v1,satellite_imagery,"This dataset offers annual satellite embeddings for the years 2018 to 2024, inclusive. Produced by Google and Google DeepMind, it provides valuable earth observation data in an easily accessible format. It is ideal for machine learning applications and environmental analysis.",discovery_metadata_only
HighMountainAsia,https://nsidc.org/data/highmountainasia,https://geospatialcatalog.com/highmountainasia,hand_flood,"The NSIDC DAAC High Mountain Asia (HMA) collection offers comprehensive data on snow and ice dynamics across five major mountain ranges, including the Himalaya and Hindu Kush. It integrates historical and modern remote sensing techniques to monitor glacial changes, water resources, and related hazards. The Glacier and Snow Melt Toolbox (GMELT) provides various remote sensing products and models for assessing environmental shifts.",discovery_metadata_only
Idaho DEQ GIS Open Data,https://opengisdata-idahodeq.opendata.arcgis.com/,https://geospatialcatalog.com/idaho-deq-gis-open-data,hand_flood,"This platform serves as the Idaho Department of Environmental Quality's (DEQ) GIS Open Data HUB, providing public access to a wide range of environmental geographic information. It features data and applications focused on protecting human health and the quality of Idaho’s air, land, and water.",discovery_metadata_only
Kansas Historical Society Maps,https://www.kansashistory.gov/p/maps/13861,https://geospatialcatalog.com/kansas-map-holdings,terrain_dem,"The Kansas Historical Society maintains a significant collection of over 25,000 maps, atlases, and architectural drawings. These resources illustrate changes in terrain, infrastructure, property, and boundaries across Kansas, the United States, and the world, with particular strength in 19th-century Kansas.",discovery_metadata_only
Knowledge Hub for Water,http://water.jrc.ec.europa.eu/,https://geospatialcatalog.com/knowledge-hub-for-water,hand_flood,"This hub offers scientific evidence and data tools developed through Joint Research Centre (JRC) projects. Its primary goal is to support European Union water policy, integrating it with related sectors like agriculture, energy, and climate. The focus is on environmental and health protection, aligning with EU Green Deal strategies.",discovery_metadata_only
Major-TOM: Expandable Datasets for Earth Observation,https://huggingface.co/Major-TOM,https://geospatialcatalog.com/major-tom-expandable-datasets-for-earth-observation,terrain_dem|satellite_imagery,"This platform offers a framework for building extensive, open, and compatible Earth observation datasets. It hosts a variety of image and embedding datasets, including multi-spectral Sentinel-2, SAR Sentinel-1, and Copernicus DEM, designed to support deep learning models.",discovery_metadata_only
MERIT DEM,http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_DEM/,https://geospatialcatalog.com/merit-dem,terrain_dem,"The MERIT DEM is a high-accuracy global Digital Elevation Model (DEM) at 3 arcsecond resolution (~90m), created by correcting errors in existing spaceborne DEMs like SRTM3 and AW3D. It significantly improves vertical accuracy, especially in flat regions, enhancing geoscience applications dependent on terrain data.",discovery_metadata_only
Michigan & Great Lakes Data,https://libguides.lib.msu.edu/c.php?g=356116&p=2402194,https://geospatialcatalog.com/michigan-great-lakes-data,hand_flood,"This resource provides a curated collection of geospatial data portals and datasets specifically focused on Michigan and the Great Lakes. It includes links to state-level open data, imagery, transportation data, and various water-related resources. The guide also features data for specific regions like Southeast Michigan and the City of Detroit.",discovery_metadata_only
Microsoft Buildings,https://github.com/microsoft/buildings,https://geospatialcatalog.com/microsoft-buildings,buildings_exposure,"This repository offers a global dataset of building density and height, generated quarterly by applying machine learning models to PlanetScope basemaps. It provides a global public layer and detailed data for five high-growth locations, distributed as Cloud-Optimized GeoTIFFs (COGs). The resource supports both data exploration and model training for users interested in urban development analysis.",discovery_metadata_only
Model My Watershed,https://modelmywatershed.org/,https://geospatialcatalog.com/model-my-watershed,hand_flood,"This platform allows users to analyze mapped watershed data, visualize monitoring information, and run model simulations. It helps in understanding the effects of human activities and different conservation or development scenarios on water quality.",discovery_metadata_only
NASA / USGS Controlled Europa DTMs,https://registry.opendata.aws/nasa-usgs-europa-dtms/,https://geospatialcatalog.com/nasa-usgs-controlled-europa-dtms,terrain_dem,"This dataset provides stereo-derived Digital Terrain Models (DTMs) of five key sites on Jupiter's moon Europa, generated from NASA's Galileo spacecraft Solid State Imager data. These DTMs offer crucial topographical insights for understanding Europa's geology and supporting future landed missions, with manual editing for accuracy and updated pointing information for precise coordination. They are suitable for most scientific analyses, acknowledging inherent uncertainties in resolution and precision.",discovery_metadata_only
NASA Earthdata Lightning,https://ghrc.nsstc.nasa.gov/lightning/dataset-info.html,https://geospatialcatalog.com/nasa-earthdata-lightning,lightning,"This resource provides access to NASA's comprehensive lightning data, gathered from various sources including ground-based sensors, airborne platforms, and satellite observations. Scientists utilize this data to gain insights into lightning patterns and to enhance the accuracy of severe weather predictions. It serves as a vital component within the broader NASA Earthdata ecosystem.",discovery_metadata_only
National Hydrography Dataset,http://nhd.usgs.gov/,https://geospatialcatalog.com/national-hydrography-dataset,hand_flood,"The National Hydrography Dataset (NHD) formerly detailed the water drainage network across the U.S., including rivers, streams, lakes, and dams. As of October 1, 2023, NHD data is no longer maintained but remains available, with the 3D Hydrography Program (3DHP) now serving as the most current data source.",discovery_metadata_only
New Orleans District,https://www.mvn.usace.army.mil/Missions/Engineering/Channel-Improvement-and-Stabilization-Program/2013MBMR/,https://geospatialcatalog.com/new-orleans-district,hand_flood,"This is the official public website of the New Orleans District, U.S. Army Corps of Engineers, providing access to historical hydrographic survey data. The data supports channel improvement and stabilization programs, crucial for navigation and flood control along major waterways.",discovery_metadata_only
New Zealand Elevation,https://registry.opendata.aws/nz-elevation/,https://geospatialcatalog.com/new-zealand-elevation,terrain_dem,"This dataset offers New Zealand's publicly owned digital elevation and surface models, freely available under an open license. It includes 1m resolution grids derived from LiDAR data, provided as Cloud Optimised GeoTIFFs (COGs) with LERC compression. Each elevation file is accompanied by STAC metadata, organized by region and survey, and regularly updated as new data is published.",discovery_metadata_only
NUVIEW,https://www.nuview.space/,https://geospatialcatalog.com/nuview,satellite_imagery,NUVIEW is a company building the first commercial satellites to annually map the planet's entire land surface with LiDAR. This initiative aims to elevate global Earth observation capabilities and provide unprecedented insights into the planet's topography and features.,discovery_metadata_only
Open Infrastructure Map,https://openinframap.org/,https://geospatialcatalog.com/open-infrastructure-map,hand_flood|power_grid,"This platform provides a comprehensive global map visualizing critical infrastructure. It leverages OpenStreetMap data to display detailed information on power grids, communication networks, and essential utility systems worldwide, offering a valuable resource for analysis and planning.",discovery_metadata_only
OpenDEM,https://www.opendem.info/opendtm_de.html,https://geospatialcatalog.com/opendem,terrain_dem,"OpenDTM-DE is a project to create a unified, high-resolution Digital Terrain Model (DTM) for Germany. It aggregates freely available 1-meter resolution terrain models from individual German federal states. This initiative addresses the absence of a nationwide high-resolution DTM from the BKG, offering essential geospatial data products.",discovery_metadata_only
OWRB Data & Maps,http://www.owrb.ok.gov/maps/PMG/DMindex.html,https://geospatialcatalog.com/owrb-data-maps,hand_flood,"The Oklahoma Water Resources Board (OWRB) provides a centralized portal for geospatial data and information related to water resources within the state of Oklahoma. It offers access to various datasets including groundwater, surface water, water rights, and water supply. The site also features specific studies and frequently requested maps.",discovery_metadata_only
Population Density Maps,https://dataforgood.fb.com/tools/population-density-maps/,https://geospatialcatalog.com/population-density-maps,buildings_exposure,"This platform provides detailed population density maps, likely derived from Facebook's extensive user data and AI analysis. These maps are invaluable for researchers, humanitarian organizations, and development agencies to understand population distribution and density across various regions. The data supports critical decision-making in disaster response, public health initiatives, and infrastructure planning.",discovery_metadata_only
RapidCrops,https://source.coop/planet/rapidcrops,https://geospatialcatalog.com/rapidcrops,satellite_imagery,"RapidCrops offers 99 million agricultural parcel boundaries with harmonized crop type data across seven EU countries, spanning 5-7 years. The dataset is derived from the EU IACS programme and includes attributes to support machine learning workflows, particularly those leveraging Earth Observation data.",discovery_metadata_only
SC DHEC GIS Hub,https://sc-department-of-health-and-environmental-control-gis-sc-dhec.hub.arcgis.com/pages/data,https://geospatialcatalog.com/sc-dhec-gis-hub,hand_flood,"The SC DHEC GIS Hub serves as a public platform for accessing and downloading open geospatial data related to health and environmental control in South Carolina. It provides data categories such as water, air, coastal, land, and health, encouraging users to engage with important local issues. The hub also offers guidance on accessing Rest Services for more advanced data consumption.",discovery_metadata_only
SCDNR GIS Open Data,https://data-scdnr.opendata.arcgis.com/,https://geospatialcatalog.com/scdnr-gis-open-data,hand_flood,"This site provides access to a wide range of geospatial datasets, StoryMaps, and web applications from the South Carolina Department of Natural Resources. It features categorized data including Conservation, Water Resources, Geology, Marine Resources, and Imagery. Users can explore and download critical environmental and natural resource information for South Carolina.",discovery_metadata_only
Sentinel-1 Backscatter Imagery,https://registry.opendata.aws/sentinel-1-rtc-indigo/,https://geospatialcatalog.com/sentinel-1-backscatter-imagery,terrain_dem,"This dataset offers Radiometrically Terrain Corrected (RTC) Sentinel-1 C-band Synthetic Aperture Radar (SAR) imagery, processed from original Ground Range Detected (GRD) scenes. It provides analysis-ready data, suitable for environmental monitoring, available over the Contiguous United States (CONUS) since 2017. The data is managed by Indigo Ag, Inc. and targets daily updates.",discovery_metadata_only
Sentinel-2,https://registry.opendata.aws/sentinel-2/,https://geospatialcatalog.com/sentinel-2,satellite_imagery,"This AWS registry provides free and open access to Sentinel-2 satellite imagery, a land monitoring mission offering high-resolution optical data globally every five days. It includes both L1C and L2A data, regularly updated within hours of availability. The data supports various ongoing studies and applications.",discovery_metadata_only
Sentinel-2 Cloud-Optimized GeoTIFFs,https://registry.opendata.aws/sentinel-2-l2a-cogs/,https://geospatialcatalog.com/sentinel-2-cloud-optimized-geotiffs,satellite_imagery,"This dataset provides Sentinel-2 Level-2A satellite imagery in Cloud-Optimized GeoTIFF (COG) format, offering high-resolution optical data for land monitoring. It includes global coverage with frequent updates, accessible via AWS, and is accompanied by SpatioTemporal Asset Catalog (STAC) metadata, making it easily discoverable and usable for various geospatial applications.",discovery_metadata_only
Snow Data Assimilation System (SNODAS),https://nsidc.org/data/g02158/versions/1#anchor-0,https://geospatialcatalog.com/snow-data-assimilation-system-snodas,hand_flood,"This resource offers access to Snow Data Assimilation System (SNODAS) data products, managed by the National Snow and Ice Data Center (NSIDC). SNODAS provides crucial information on snow cover, depth, and water equivalent, essential for cryospheric and hydrological research.",discovery_metadata_only
swissALTI3D,https://www.swisstopo.admin.ch/en/height-model-swissalti3d,https://geospatialcatalog.com/swissalti3d,terrain_dem,"swissALTI3D is a highly accurate digital elevation model that captures the surface of Switzerland, excluding vegetation and development. It provides foundational height data for various applications and is updated every six years to maintain its precision.",discovery_metadata_only
TanDEM-X Science Server,https://tandemx-science.dlr.de/,https://geospatialcatalog.com/tandem-x-science-server,terrain_dem|satellite_imagery,The TanDEM-X Science Server offers researchers and scientists access to high-resolution Synthetic Aperture Radar (SAR) data and Digital Elevation Models (DEMs) derived from the TanDEM-X mission. This platform supports a wide range of scientific applications by providing crucial geospatial information for Earth observation.,discovery_metadata_only
U.S. Geological Survey Water Data,https://www.usgs.gov/mission-areas/water-resources/data,https://geospatialcatalog.com/us-geological-survey-water-data,hand_flood,"The U.S. Geological Survey's Water Resources Mission Area offers essential water information and datasets. These resources are crucial for economic well-being, protecting life and property, and supporting effective management of water resources across the nation. The site lists discrete data releases and datasets produced during their science and research activities.",discovery_metadata_only
WaterIsotopes.org,http://wateriso.utah.edu/waterisotopes/pages/data_access/da_main.html,https://geospatialcatalog.com/waterisotopesorg,hand_flood,"This website provides a comprehensive resource for water isotope research and applications. It offers access to various data products, interactive tools, and archived information from scientific publications. The resources are designed to support researchers and professionals in utilizing stable water isotopes in their studies.",discovery_metadata_only
